seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,
29,48.18222146,5.212834926,30,6.357080078,-2.154516602,7.573706055,-1.698303223,-9.837341309,-5.265808105,,
30,44.04028208,5.261278192,30,6.396557617,-4.352099609,7.131677246,3.930664063,-13.93890381,-6.15234375,,
31,24.99204105,5.293882779,30,6.966589355,0.00657959,7.409814453,24.06463623,7.455444336,-7.273864746,,
32,22.86256939,5.376489856,30,5.68536377,-0.636425781,7.864404297,40.88745117,-12.00561523,-6.355285645,,
33,24.54742609,5.443718297,30,5.065087891,-1.379321289,7.382299805,-17.64526367,13.46893311,-8.320617676,,
34,18.65042764,5.511979453,30,6.174645996,-0.495861816,7.378112793,-17.06848145,-26.45721436,-14.28070068,,
35,27.42572295,5.556910501,30,4.911962891,-2.740698242,7.134667969,28.465271,-2.905273438,-20.06988525,,
36,16.45075361,5.609310282,30,5.53104248,-0.568237305,7.951733398,10.41412354,-9.228515625,-5.842590332,,
37,24.61762845,5.655210567,30,5.581286621,-1.159204102,7.632324219,1.879882813,11.47155762,-4.28314209,,
38,23.07317648,5.705152949,30,4.529150391,-0.13996582,9.275427246,5.725097656,-19.94171143,9.378051758,,
39,26.55989381,5.766518138,30,2.657556152,-0.794335938,9.148620605,-9.378051758,-57.47528076,-19.09790039,,
40,23.04977569,5.795672172,30,4.154711914,0.266174316,8.954821777,11.96289063,-13.52233887,-10.51025391,,
41,19.37585205,5.825004523,30,6.459362793,0.56763916,7.417590332,12.36877441,-10.02960205,1.54876709,,
42,23.28378356,5.869339786,30,6.186608887,0.544909668,7.701708984,5.14831543,22.17407227,-21.02050781,,
43,21.80953395,5.884208551,30,6.970178223,0.278735352,7.18371582,2.317810059,-7.775878906,-4.998779297,,
44,16.38055125,5.925332181,30,7.057507324,0.206359863,6.968981934,5.938720703,-14.35546875,-8.181762695,,
45,17.9718048,5.963017687,30,6.831408691,1.101782227,6.705200195,14.76135254,-12.43286133,9.185791016,,
46,20.38208591,5.989568975,30,7.091003418,0.392382813,6.958813477,5.308532715,-4.731750488,-7.551574707,,
47,15.58492448,6.01244025,30,6.809277344,0.157312012,7.034179688,4.24041748,-9.484863281,-6.69708252,,
48,15.44451975,6.050792251,30,7.434338379,0.460571289,6.568225098,4.742431641,-8.544921875,4.624938965,,
49,27.80013555,6.073944162,30,7.610791016,-0.340942383,6.541308594,25.18615723,5.917358398,5.97076416,,
50,20.89690324,6.112766751,30,7.328466797,0.313427734,6.356481934,29.59747314,3.91998291,-1.879882813,,
51,15.51472211,6.136202742,30,7.398449707,0.576611328,6.59753418,9.5703125,-1.239013672,-2.072143555,,
52,20.38208591,6.199225251,30,7.622155762,0.562854004,6.340930176,-1.837158203,-12.15515137,-7.957458496,,
53,25.62386231,6.215101338,30,7.646679688,-0.589770508,6.231469727,-14.5690918,-12.9776001,0.843811035,,
54,19.02484024,6.275069635,30,7.750158691,0.042468262,6.299060059,12.11242676,-0.939941406,0.213623047,,
55,25.88127098,6.311381104,30,7.571911621,-0.713586426,6.242834473,-7.647705078,-7.914733887,-4.667663574,,
56,20.31188355,6.343867749,30,7.542004395,-0.997106934,6.389379883,-20.89233398,-20.15533447,-3.033447266,,
57,18.39301898,6.388861576,30,7.436730957,-0.814672852,6.532336426,-30.62286377,-20.62530518,-1.377868652,,
58,20.31188355,6.442524764,30,7.164575195,0.419897461,6.53293457,5.83190918,-5.693054199,-7.177734375,,
59,31.47405919,6.475813539,30,7.466638184,-1.191503906,6.384594727,-1.837158203,-8.811950684,-3.866577148,,
60,19.60985993,6.530342609,30,7.028796387,-1.737011719,7.035974121,30.38787842,13.35144043,-12.35809326,,
61,23.68159695,6.572657269,30,7.028796387,-1.417602539,6.774584961,6.376647949,-6.141662598,-6.462097168,,
62,24.40702136,6.606741989,30,7.003674316,-1.280627441,6.770996094,6.120300293,-6.47277832,-6.387329102,,
63,22.6519623,6.632442273,30,7.015637207,-0.445617676,7.269250488,2.55279541,-9.986877441,-4.635620117,,
64,29.11057965,6.671213751,30,6.791333008,-1.680786133,7.398449707,9.303283691,-3.225708008,-6.857299805,,
65,19.75026465,6.701553766,30,6.815856934,0.165087891,6.874475098,-10.17913818,-16.12854004,-9.741210938,,
66,21.73933159,6.775914139,30,5.589660645,-0.103479004,7.855432129,35.31188965,12.66784668,-15.43426514,,
67,34.35235605,6.828986974,30,6.033483887,-2.018737793,8.357873535,-47.58453369,2.648925781,-14.93225098,,
68,29.53179383,6.860171048,30,5.038171387,-2.688659668,7.807580566,18.99108887,-10.18981934,-8.758544922,,
69,7.558454363,6.896014324,30,5.959313965,0.684277344,7.894909668,20.53985596,4.090881348,-7.51953125,,
70,14.88290085,6.96381242,30,5.931201172,-0.771606445,8.266357422,31.81915283,11.10839844,-4.592895508,,
71,18.29941583,7.014026003,30,6.294274902,-0.896618652,8.16706543,-33.06884766,-13.92822266,-14.06707764,,
72,18.9078363,7.069286764,30,5.651269531,0.016149902,8.839978027,23.98986816,6.622314453,9.378051758,,
73,14.99990479,7.097107268,30,7.424169922,-1.153222656,8.413500977,0.288391113,38.20648193,-6.077575684,,
74,20.24168119,7.120388411,30,7.53482666,-1.19329834,7.243530273,39.39208984,1.837158203,26.24359131,,
75,19.37585205,7.162518715,30,6.372033691,-0.769213867,7.370336914,41.15447998,1.164245605,4.165649414,,
76,19.53965756,7.209670384,30,7.887731934,-0.147143555,5.654260254,27.74963379,-19.70672607,-11.36474609,,
77,29.90620643,7.242891049,30,6.62265625,-0.565246582,7.878759766,-10.9161377,-1.089477539,-3.065490723,,
78,16.98897173,7.281075202,30,5.697924805,-0.148937988,8.0390625,8.993530273,-33.18634033,-3.086853027,,
79,21.48192293,7.319492904,30,4.704406738,-0.32598877,8.108447266,35.87799072,20.43304443,-4.443359375,,
80,37.37105764,7.358145586,30,6.434240723,-2.447009277,7.623950195,3.642272949,-4.251098633,-2.104187012,,
81,32.92490801,7.377560493,30,6.059802246,-1.595849609,7.233361816,1.388549805,-2.616882324,-1.954650879,,
82,24.7112316,7.397034684,30,6.543701172,-1.692150879,7.753747559,2.87322998,-13.02032471,-3.567504883,,
83,35.14798283,7.431257716,30,6.114233398,-2.657556152,7.480395508,1.078796387,-5.65032959,-4.934692383,,
84,22.44135521,7.450895874,30,5.275634766,-0.74588623,7.961303711,20.11260986,-1.089477539,-11.73858643,,
85,14.57869061,7.505210559,30,5.22479248,-0.059216309,8.343518066,10.2432251,-5.169677734,-7.19909668,,
86,29.953008,7.53005,30,5.63392334,-2.343530273,7.799804688,-5.46875,-4.379272461,-8.662414551,,
87,19.11844339,7.569990538,30,5.362963867,-0.683679199,7.949938965,53.16009521,-1.036071777,-4.272460938,,
88,16.31034889,7.600106177,30,6.200964355,-0.806896973,8.562438965,35.00213623,-11.28997803,15.90423584,,
89,22.76896624,7.645538666,30,5.011853027,-1.826733398,8.13536377,43.11981201,30.47332764,-12.27264404,,
90,17.15277724,7.701492188,30,5.443713379,-1.141259766,8.145532227,-49.94506836,-13.12713623,-2.841186523,,
91,40.53016395,7.732210607,30,4.597937012,-2.25201416,8.214916992,-11.99493408,10.80932617,-2.178955078,,
92,29.3913891,7.768226772,30,5.318701172,-2.977563477,8.421276855,-41.21856689,-9.38873291,3.952026367,,
93,30.56142848,7.794070512,30,2.657556152,-1.705908203,8.884838867,19.94171143,35.51483154,-16.00036621,,
94,23.68159695,7.85127463,30,0.722558594,-1.69095459,8.889624023,44.76470947,11.94152832,-25.62408447,,
95,28.59576233,7.887927767,30,1.921240234,-1.229187012,9.572106934,12.35809326,12.3260498,-12.49694824,,
96,21.80953395,7.914228572,30,1.369750977,0.230883789,9.628930664,4.42199707,-5.308532715,-6.622314453,,
97,33.83753873,7.930057236,30,1.242944336,-0.966003418,9.922619629,4.571533203,-0.192260742,-12.0803833,,
98,21.3415182,7.951218502,30,2.502636719,1.644299316,8.944055176,56.67419434,13.55438232,4.582214355,,
99,27.30871901,7.977760976,30,3.286206055,-2.225097656,9.567321777,-9.303283691,-3.033447266,-9.43145752,,
100,28.68936548,7.988406322,30,4.736706543,-0.156713867,8.456567383,26.41448975,2.563476563,-3.642272949,,
101,21.22451426,8.036511715,30,5.319897461,0.518591309,8.526550293,13.2019043,41.79534912,15.92559814,,
102,25.90467176,8.036511715,30,3.119921875,0.215332031,9.293371582,7.669067383,-7.060241699,-5.361938477,,
103,27.63633004,8.03115036,30,3.448303223,0.297875977,9.466235352,3.994750977,-14.51568604,-9.580993652,,
104,23.00297411,8.063379872,30,3.922033691,0.538928223,9.249108887,5.906677246,-61.24572754,-22.36633301,,
105,20.49908985,8.079549985,30,3.409423828,0.245837402,9.356774902,-1.580810547,12.41149902,-4.881286621,,
106,21.57552608,8.068765802,30,5.074658203,0.189611816,9.675585938,-4.913330078,-30.62286377,12.71057129,,
107,20.54589143,8.063379872,30,3.812573242,0.098095703,9.619958496,5.223083496,-5.960083008,-18.8949585,,
108,17.36338433,8.106582479,30,4.190002441,0.540722656,9.147424316,6.387329102,-21.00982666,-0.950622559,,
109,20.31188355,8.112001352,30,3.648083496,0.034692383,9.558349609,4.592895508,12.46490479,-10.70251465,,
110,17.19957881,8.122851496,30,3.602026367,0.330175781,9.008654785,7.252502441,-38.81530762,-2.221679688,,
111,18.29941583,8.139157758,30,3.983642578,0.269763184,8.988916016,-7.241821289,9.046936035,3.450012207,,
112,23.30718435,8.14460147,30,3.923828125,0.160900879,9.063684082,17.29278564,16.54510498,-3.044128418,,
113,18.13561031,8.171882355,30,2.882458496,0.984545898,8.804089355,4.112243652,-35.546875,-28.07006836,,
114,24.17301349,8.17735102,30,2.062402344,0.51081543,8.552868652,26.2008667,8.491516113,-26.79901123,,
115,27.23851665,8.204756957,30,2.722155762,0.500646973,9.642687988,6.504821777,-5.180358887,-7.904052734,,
116,22.51155758,8.21574861,30,3.161791992,-0.025720215,8.813659668,-17.33551025,-76.72271729,-6.729125977,,
117,25.43665601,8.23226754,30,3.271850586,-0.773400879,9.964489746,1.602172852,-3.78112793,-10.05096436,,
118,23.75179931,8.237782249,30,3.238354492,0.140563965,9.00925293,18.53179932,-11.26861572,2.125549316,,
119,17.83140008,8.265418936,30,3.081640625,0.209350586,9.454870605,7.88269043,-12.71057129,-10.15777588,,
120,27.87033791,8.304287674,30,5.342028809,-1.713085938,8.781958008,0.971984863,-5.874633789,9.93347168,,
121,31.75486864,8.332178304,30,4.169665527,-0.867907715,8.865100098,16.32080078,6.109619141,-5.020141602,,
122,19.89066938,8.371404193,30,4.726538086,0.634033203,8.683862305,25.21820068,-37.88604736,-8.641052246,,
123,16.68476149,8.405193366,30,6.541308594,0.143554688,7.894311523,-8.267211914,-38.0355835,16.47033691,,
124,12.30881423,8.427805484,30,6.904382324,-1.055725098,8.00736084,9.495544434,-2.093505859,12.31536865,,
125,33.22911825,8.450486649,30,4.367053223,-3.549987793,9.843066406,-16.12854004,-1.04675293,-7.038879395,,
126,23.19018041,8.490345467,30,3.587670898,-0.997705078,9.067871094,-1.260375977,0.875854492,-5.223083496,,
127,22.20734734,8.524679846,30,3.824536133,-0.866113281,9.190490723,0.843811035,-6.440734863,-15.13519287,,
128,21.85633553,8.530417524,30,4.053027344,-0.252416992,9.087011719,5.532836914,-6.718444824,-6.301879883,,
129,28.87657178,8.547656821,30,3.983642578,-0.70760498,9.28260498,6.846618652,-4.154968262,-3.791809082,,
130,20.2182804,8.570703958,30,4.092504883,-0.148937988,9.335839844,11.93084717,-3.973388672,-4.795837402,,
131,20.45228828,8.564935585,30,4.215722656,-0.194396973,8.859118652,12.91351318,-6.622314453,-4.507446289,,
132,25.34305286,8.59961187,30,4.212731934,0.125610352,8.828613281,25.62408447,-4.635620117,-2.275085449,,
133,18.39301898,8.617009574,30,4.654760742,-0.011962891,8.95123291,24.97253418,-6.312561035,1.260375977,,
134,24.07941034,8.628630164,30,5.011853027,-0.808093262,8.615075684,9.228515625,-6.814575195,-2.285766602,,
135,24.07941034,8.651924557,30,4.888037109,-1.01385498,8.668310547,6.077575684,-8.993530273,-5.97076416,,
136,22.67536309,8.681142601,30,5.093798828,-0.701623535,8.290881348,7.423400879,-6.130981445,-4.208374023,,
137,21.43512135,8.669442019,30,5.020825195,-0.709997559,8.469128418,7.626342773,-8.758544922,-7.70111084,,
138,20.35868513,8.686999584,30,4.961608887,-0.618481445,8.649768066,8.374023438,-5.949401855,-6.045532227,,
139,24.40702136,8.686999584,30,5.156005859,-0.960620117,8.340527344,4.849243164,-5.906677246,-5.479431152,,
140,23.65819616,8.710472211,30,5.099182129,-0.878674316,8.665917969,6.558227539,-6.675720215,-6.045532227,,
141,22.41795443,8.722235389,30,5.045349121,-0.67590332,8.618066406,5.757141113,-6.056213379,-5.020141602,,
142,29.92960721,8.722235389,30,4.709191895,-1.431359863,8.740087891,9.869384766,-3.578186035,-7.209777832,,
143,25.0856442,8.74581561,30,5.04654541,-0.943273926,8.439819336,23.86169434,-2.91595459,1.260375977,,
144,19.68006229,8.763548016,30,5.410217285,-0.628051758,8.610290527,11.02294922,-7.455444336,-0.694274902,,
145,32.0122773,8.781321017,30,4.79173584,-0.793737793,8.650366211,6.323242188,-3.503417969,-4.92401123,,
146,29.69559934,8.805081659,30,3.940576172,-0.218920898,9.003271484,9.399414063,-5.46875,-9.24987793,,
147,24.03260876,8.828914855,30,3.42557373,0.619677734,9.182714844,11.62109375,0.50201416,-11.6104126,,
148,22.67536309,8.828914855,30,4.502832031,0.091516113,9.09239502,5.596923828,44.32678223,0.587463379,,
149,26.53649303,8.864801174,30,4.369445801,0.098693848,8.678479004,7.102966309,-34.14764404,-8.822631836,,
150,20.47568906,8.864801174,30,3.910668945,0.714782715,9.118115234,8.779907227,28.14483643,-1.54876709,,
151,24.45382294,8.870798199,30,3.276635742,0.386401367,9.638500977,3.482055664,4.753112793,-3.984069824,,
152,23.5879938,8.882805972,30,2.789147949,0.180041504,9.381896973,7.402038574,-22.94311523,-3.05480957,,
153,25.13244578,8.900851988,30,3.198278809,0.379223633,9.59005127,8.587646484,2.59552002,-12.5289917,,
154,30.81883714,8.931020535,30,3.410620117,0.523974609,8.952429199,-0.480651855,-31.6696167,-7.850646973,,
155,18.48662213,8.973450127,30,5.154211426,-1.169970703,9.378308105,-3.182983398,34.01947021,28.91387939,,
156,34.65656629,8.997797444,30,4.852746582,-1.601831055,8.302246094,0.961303711,-17.68798828,-6.034851074,,
157,18.67382843,9.040584281,30,4.039868164,0.381616211,8.954223633,-3.065490723,-10.42480469,-7.498168945,,
158,18.1590111,9.077440853,30,3.498547363,0.604724121,8.991308594,13.9175415,-4.614257813,-8.726501465,,
159,23.91560483,9.108283685,30,3.551782227,-0.852954102,9.611584473,16.45965576,8.619689941,10.39276123,,
160,30.72523399,9.133042724,30,3.134277344,-1.446911621,8.912353516,3.396606445,-1.666259766,-0.843811035,,
161,32.48029305,9.170323109,30,3.356188965,-1.851855469,9.491357422,-17.01507568,-11.79199219,8.88671875,,
162,21.7159308,9.176553099,30,3.618774414,-0.90020752,9.983630371,19.09790039,21.50115967,-29.77905273,,
163,13.78306384,9.18278784,30,4.2109375,0.645397949,8.737695313,5.618286133,-7.508850098,-2.627563477,,
164,21.01390718,9.226564343,30,4.251611328,-1.829125977,8.339331055,31.28509521,-8.876037598,-6.408691406,,
165,13.08104021,9.239114877,30,5.060900879,-0.380419922,8.442810059,5.661010742,-12.25128174,-11.25793457,,
166,29.41478989,9.245397322,30,2.204162598,-0.235668945,9.749157715,1.495361328,-2.456665039,-3.257751465,,
167,24.10281113,9.28319272,30,2.028308105,-0.936096191,9.323278809,9.143066406,-11.97357178,-6.97479248,,
168,15.93593629,9.308485852,30,3.011657715,0.660351563,9.436328125,19.6105957,0.128173828,5.842590332,,
169,24.47722373,9.321161366,30,2.058215332,-1.628149414,9.636108398,-36.29455566,-6.793212891,-27.45056152,,
170,19.42265363,9.333856217,30,3.10078125,0.102282715,9.168359375,7.968139648,-11.42883301,-8.726501465,,
171,26.53649303,9.359304052,30,4.002783203,-0.494665527,9.485375977,2.040100098,38.06762695,-0.790405273,,
172,17.15277724,9.37844091,30,2.78137207,0.550891113,9.317895508,18.17932129,-12.82806396,-3.941345215,,
173,21.41172056,9.404024887,30,4.633227539,0.08314209,8.127587891,53.69415283,-13.06304932,-5.116271973,,
174,25.22604893,9.423264124,30,0.909777832,0.812878418,8.54987793,17.61322021,2.883911133,-28.78570557,,
175,22.95617254,9.455427444,30,2.73651123,-1.602429199,8.875268555,-4.881286621,1.452636719,4.208374023,,
176,16.35715046,9.461874831,30,2.910571289,2.22689209,8.213122559,75.57983398,-21.33026123,-22.67608643,,
177,10.78776304,9.487713577,30,3.555969238,2.51340332,8.79152832,24.25689697,16.97235107,-0.085449219,,
178,16.45075361,9.507144402,30,2.858532715,-5.930603027,10.34550781,12.61444092,-20.66802979,-9.506225586,,
179,17.85480086,9.533121381,30,3.267663574,2.465551758,8.320788574,-4.454040527,-9.965515137,-2.520751953,,
180,25.81106861,9.559177681,30,3.709094238,-2.169470215,10.74626465,-47.61657715,27.98461914,28.90319824,,
181,26.65349696,9.572235653,30,1.757946777,0.008374023,9.709680176,5.191040039,-7.647705078,-8.876037598,,
182,29.13398044,9.572235653,30,1.777087402,0.165686035,9.877160645,6.718444824,-6.248474121,-5.757141113,,
183,24.12621191,9.591859973,30,1.705310059,0.300866699,9.954321289,8.619689941,-9.645080566,-7.252502441,,
184,25.06224341,9.604967806,30,2.005578613,0.06340332,9.516479492,13.4262085,19.66400146,-11.72790527,,
185,20.87350245,9.618095635,30,2.560656738,0.704016113,9.709082031,7.88269043,-6.65435791,-4.592895508,,
186,21.36491899,9.624667059,30,3.353198242,1.463659668,9.422570801,-5.938720703,-21.61865234,-9.463500977,,
187,24.45382294,9.637824942,30,2.870495605,0.762036133,9.531433105,9.944152832,-3.118896484,-2.424621582,,
188,20.63949458,9.651002899,30,4.042260742,-0.5359375,9.037963867,2.018737793,31.50939941,6.51550293,,
189,23.84540246,9.651002899,30,2.412915039,-0.239257813,9.594238281,4.293823242,-1.057434082,-10.33935547,,
190,19.07164181,9.66420096,30,2.601928711,0.189611816,9.712072754,6.237792969,-6.51550293,-6.045532227,,
191,21.41172056,9.684035815,30,2.563647461,0.227893066,9.549377441,8.406066895,-27.95257568,-16.83349609,,
192,21.08410954,9.697284272,30,3.003283691,0.128601074,9.393859863,9.912109375,-6.088256836,-8.149719238,,
193,16.73156306,9.697284272,30,2.680285645,0.403149414,9.652856445,4.507446289,13.85345459,1.345825195,,
194,19.86726859,9.690657519,30,1.851855469,0.238659668,9.408215332,7.647705078,-8.801269531,-10.73455811,,
195,18.51002291,9.717194864,30,2.747277832,0.558068848,9.655847168,5.863952637,-10.17913818,-6.120300293,,
196,15.46792054,9.737151038,30,2.167077637,0.629846191,9.524853516,4.389953613,12.03765869,1.089477539,,
197,18.36961819,9.723841852,30,2.226293945,0.390588379,9.732409668,9.239196777,-13.62915039,-11.52496338,,
198,14.62549219,9.730493909,30,2.304052734,0.58079834,9.706689453,5.532836914,-4.187011719,-3.321838379,,
199,14.92970243,9.757152896,30,2.277734375,0.500646973,9.651660156,4.058837891,-5.575561523,-4.656982422,,
200,16.59115834,9.770512901,30,2.655163574,0.411523438,10.1385498,6.910705566,-22.45178223,-11.54632568,,
201,15.9125355,9.783893288,30,2.630041504,0.731530762,9.726428223,8.213806152,-11.12976074,-10.06164551,,
202,16.0997418,9.777200545,30,1.795629883,0.553283691,9.870581055,8.192443848,-4.187011719,-8.438110352,,
203,14.83609928,9.817433632,30,2.525366211,0.780578613,9.809570313,6.707763672,-3.898620605,-1.634216309,,
204,12.89383391,9.810715334,30,2.350109863,0.754858398,9.979443359,5.126953125,-1.057434082,-0.576782227,,
205,15.42111896,9.824157054,30,1.993017578,0.699829102,9.898693848,4.998779297,-0.704956055,-2.168273926,,
206,11.09197328,9.844358095,30,1.796826172,0.813476563,10.00875244,9.527587891,-15.63720703,-13.59710693,,
207,11.95780241,9.844358095,30,1.775292969,0.651977539,9.53861084,0.929260254,-20.67871094,-10.18981934,,
208,11.74719533,9.871364772,30,1.596447754,0.757250977,9.925610352,5.874633789,-12.66784668,-6.867980957,,
209,10.20274335,9.88489902,30,1.595849609,0.675305176,9.773681641,7.327270508,0.662231445,-4.742431641,,
210,13.08104021,9.891673885,30,1.046154785,0.579003906,9.907067871,3.065490723,0.534057617,-2.253723145,,
211,10.78776304,9.905239116,30,1.136474609,0.665734863,9.744970703,6.163024902,-10.42480469,-5.500793457,,
212,11.72379454,9.918825043,30,0.964807129,0.611901855,9.974060059,4.46472168,-4.400634766,-5.041503906,,
213,11.65359218,9.925625777,30,0.762036133,0.664538574,9.69173584,7.572937012,-6.237792969,-4.710388184,,
214,10.4835528,9.946059109,30,1.038977051,0.772802734,9.710876465,2.926635742,-2.317810059,-2.531433105,,
215,14.85950006,9.946059109,30,0.918151855,0.55567627,9.814355469,6.002807617,-4.133605957,-4.058837891,,
216,11.67699296,9.959707311,30,0.994714355,0.812280273,9.809570313,6.526184082,-6.921386719,-6.269836426,,
217,16.49755519,9.973376335,30,0.818859863,0.589770508,9.604406738,3.268432617,-0.18157959,-5.126953125,,
218,15.86573393,9.973376335,30,0.927722168,0.705810547,9.846655273,7.540893555,-12.06970215,-6.034851074,,
219,25.55365995,9.993918982,30,3.820349121,-0.260192871,9.86340332,-10.84136963,-20.55053711,-9.367370605,,
220,33.93114188,10.02138235,30,5.331262207,-0.994714355,8.252001953,-4.304504395,-14.72930908,-6.163024902,,
221,26.32588594,10.0420349,30,5.423974609,-0.816467285,8.320788574,12.11242676,-4.838562012,-11.97357178,,
222,15.49132133,10.08348194,30,2.592956543,-0.062805176,9.947143555,3.770446777,10.59570313,4.1015625,,
223,18.9078363,10.11816623,30,2.474523926,0.0765625,9.885534668,1.249694824,-16.83349609,-14.37683105,,
224,17.38678511,10.11121879,30,2.534338379,-0.164489746,9.867590332,3.546142578,-32.40661621,-26.60675049,,
225,13.87666699,10.12511896,30,2.497253418,0.194995117,9.752148438,5.906677246,2.659606934,0.598144531,,
226,18.11220953,10.132077,30,1.752563477,0.257202148,9.832299805,3.898620605,-7.028198242,-6.632995605,,
227,13.38525045,10.15298296,30,1.644299316,0.445019531,9.599621582,4.528808594,-2.947998047,-3.321838379,,
228,12.47261974,10.15298296,30,1.881762695,0.605322266,9.749157715,6.632995605,-9.196472168,-6.248474121,,
229,13.64265911,10.16694684,30,1.983447266,0.641809082,9.789233398,10.38208008,-4.945373535,-14.53704834,,
230,12.1684095,10.16694684,30,1.714282227,0.62565918,9.785046387,6.088256836,-8.726501465,-7.508850098,,
231,11.0451717,10.18793263,30,1.568334961,0.863122559,9.783251953,4.614257813,0.747680664,-1.570129395,,
232,12.63642525,10.19493856,30,1.402648926,0.699230957,9.822131348,6.248474121,-3.567504883,-4.571533203,,
233,11.72379454,10.19493856,30,1.177148438,0.63762207,9.622949219,5.992126465,-4.934692383,-4.998779297,,
234,11.4195843,10.20896646,30,1.547399902,0.643005371,9.944152832,5.383300781,-11.09771729,-10.36071777,,
235,10.15594178,10.22301575,30,1.840490723,0.72734375,10.04224854,6.045532227,-5.799865723,-4.379272461,,
236,12.61302446,10.22301575,30,1.135876465,0.779980469,9.753942871,2.980041504,-6.15234375,-4.881286621,,
237,11.53658824,10.23708648,30,1.171765137,0.839794922,9.759924316,6.077575684,-8.352661133,-6.280517578,,
238,9.875132325,10.23708648,30,1.268664551,0.84876709,9.908862305,1.933288574,-9.452819824,-5.799865723,,
239,14.71909534,10.25117868,30,1.347619629,0.782373047,9.878356934,7.83996582,-1.260375977,-5.180358887,,
240,13.45545281,10.25823284,30,1.181335449,0.878076172,9.770092773,5.233764648,-6.355285645,-5.223083496,,
241,13.54905596,10.2723573,30,1.468444824,0.761437988,9.90826416,1.976013184,-5.960083008,-4.881286621,,
242,22.16054576,10.2723573,30,2.768811035,0.434851074,9.375317383,-9.410095215,-32.38525391,-12.94555664,,
243,17.05917409,10.30067089,30,4.310229492,-0.290100098,8.991906738,-0.384521484,-4.389953613,-5.137634277,,
244,12.49602053,10.31486009,30,3.5984375,0.548498535,9.18092041,21.84295654,31.70166016,14.1418457,,
